"Employee ID";"First Name";"Last Name";"StartDate";"ExitDate";"Supervisor";"EmployeeType";"Termination";"Department";"State";"Job Role";"Gender";"Race";"Marital status";"Performance Score";"Current Employee Rating";"rownum";"attrition flag"
1048;"Stephen";"Daugherty";"2019-11-29";"";"Joshua Pittman";"Part-Time";"Unk";"Software Engineering";"MA";"Helper";"Male";"Asian";"Widowed";"Fully Meets";3;1;0
1049;"Demarion";"Morrow";"2019-05-30";"2020-12-19";"Patricia Brewer";"Part-Time";"Involuntary";"Software Engineering";"MA";"Technician";"Male";"White";"Married";"Fully Meets";3;1;1
1050;"Steven";"Schneider";"2020-11-23";"";"Jerry Suarez";"Contract";"Unk";"Software Engineering";"MA";"Accounting";"Male";"Black";"Widowed";"Fully Meets";3;1;0
1051;"Devon";"Hinton";"2022-04-08";"2023-01-11";"Allison York";"Full-Time";"Involuntary";"Software Engineering";"MA";"Operator";"Male";"White";"Divorced";"Fully Meets";3;1;1
1052;"Jacquelyn";"Johns";"2021-02-25";"2021-06-04";"Christopher Romero";"Contract";"Voluntary";"Software Engineering";"MA";"Foreman";"Female";"Hispanic";"Single";"Fully Meets";3;1;1
1053;"Blaine";"Keith";"2019-03-13";"2021-04-07";"Timothy Hansen";"Contract";"Resignation";"Software Engineering";"MA";"Project Manager";"Female";"Hispanic";"Divorced";"Fully Meets";3;1;1
1054;"Phillip";"Salazar";"2023-02-12";"";"Christopher Romero";"Part-Time";"Unk";"Software Engineering";"MA";"Project Manager";"Male";"White";"Single";"Fully Meets";3;1;0
1055;"Chaz";"Webb";"2018-09-08";"";"Alec Hernandez";"Contract";"Unk";"Software Engineering";"MA";"Laborer";"Female";"White";"Widowed";"Fully Meets";3;1;0
1056;"Desmond";"Anderson";"2021-11-18";"";"Kari Bishop";"Contract";"Unk";"Software Engineering";"MA";"Driver";"Male";"Hispanic";"Widowed";"Fully Meets";3;1;0
1057;"Sophie";"Decker";"2023-07-01";"";"Justin Grant";"Full-Time";"Unk";"Software Engineering";"MA";"Foreman";"Male";"Asian";"Widowed";"Fully Meets";3;1;0
1058;"Lena";"Bryan";"2022-04-18";"";"Sarah Sims";"Contract";"Unk";"Software Engineering";"MA";"Technician";"Male";"Hispanic";"Married";"Fully Meets";3;1;0
1059;"Kelsie";"Mccormick";"2023-04-29";"";"Emily Brennan";"Part-Time";"Unk";"Software Engineering";"MA";"Engineer";"Female";"Asian";"Widowed";"Fully Meets";3;1;0
1060;"Frida";"Livingston";"2018-10-10";"2018-12-25";"Sandra Black";"Part-Time";"Voluntary";"Software Engineering";"MA";"Project Manager";"Female";"Black";"Single";"Fully Meets";3;1;1
1061;"Isai";"Alvarado";"2022-11-20";"";"Laura Norman";"Part-Time";"Unk";"Software Engineering";"MA";"Specialist";"Female";"Other";"Single";"Fully Meets";3;1;0
1062;"Travis";"Vasquez";"2019-05-18";"2020-01-14";"Amanda Hale";"Part-Time";"Involuntary";"Software Engineering";"MA";"Program Manager";"Male";"Hispanic";"Married";"Fully Meets";3;1;1
1063;"Jazlene";"Maynard";"2021-06-22";"";"James Baker";"Full-Time";"Unk";"Software Engineering";"MA";"Foreman";"Female";"Black";"Single";"Fully Meets";3;1;0
1064;"Wyatt";"Donovan";"2022-03-30";"2022-04-13";"Terry Durham";"Part-Time";"Retirement";"Software Engineering";"MA";"Technician";"Male";"White";"Divorced";"Fully Meets";3;1;1
1065;"Nathaly";"Cooper";"2018-08-28";"";"Erik Simon";"Contract";"Unk";"Software Engineering";"MA";"Engineer";"Male";"Other";"Widowed";"Fully Meets";3;1;0
1066;"Gage";"Weeks";"2021-12-27";"2023-01-05";"Summer Moreno";"Full-Time";"Voluntary";"Software Engineering";"MA";"Operator";"Male";"Hispanic";"Single";"Fully Meets";3;1;1
1067;"Gavin";"Frye";"2020-11-14";"";"Carla Cox";"Part-Time";"Unk";"Software Engineering";"MA";"Technician";"Female";"White";"Married";"Fully Meets";3;1;0
1068;"Amber";"Ross";"2021-10-01";"";"Mary Mendoza";"Full-Time";"Unk";"Software Engineering";"MA";"Project Manager";"Female";"Black";"Widowed";"Fully Meets";3;1;0
1069;"Wyatt";"Edwards";"2018-10-13";"2023-05-28";"Cassandra Smith";"Full-Time";"Resignation";"Software Engineering";"MA";"Foreman";"Female";"Other";"Widowed";"Fully Meets";3;1;1
1070;"Karla";"Reed";"2018-12-15";"2022-05-28";"Warren Baker";"Full-Time";"Resignation";"Software Engineering";"MA";"Project Manager";"Male";"Black";"Married";"Fully Meets";3;1;1
1071;"Yadira";"Mcmillan";"2019-03-28";"2020-10-17";"Amy Bell";"Contract";"Involuntary";"Software Engineering";"MA";"Laborer";"Male";"Black";"Married";"Fully Meets";3;1;1
1072;"Fernando";"Mcconnell";"2018-12-27";"";"Teresa Lopez";"Part-Time";"Unk";"Software Engineering";"MA";"Operator";"Female";"Asian";"Widowed";"Fully Meets";3;1;0
1073;"Sean";"Bean";"2019-05-11";"";"Kimberly Holland";"Full-Time";"Unk";"Software Engineering";"MA";"Foreman";"Male";"White";"Single";"Fully Meets";3;1;0
1074;"Lilianna";"Mccall";"2021-02-19";"2023-02-24";"Robert Garcia";"Full-Time";"Voluntary";"Software Engineering";"MA";"Laborer";"Male";"Asian";"Divorced";"Fully Meets";3;1;1
1075;"Salvador";"Thomas";"2022-11-05";"2023-04-16";"Nicholas Martinez";"Part-Time";"Involuntary";"Software Engineering";"MA";"Engineer";"Male";"Asian";"Married";"Fully Meets";3;1;1
1076;"Jair";"Silva";"2020-03-22";"2020-09-28";"Carlos Barnes";"Contract";"Retirement";"Software Engineering";"MA";"Administrative";"Female";"White";"Widowed";"Fully Meets";3;1;1
1077;"Derek";"Moreno";"2019-02-02";"";"Allison Jacobs";"Contract";"Unk";"Software Engineering";"MA";"Foreman";"Female";"Black";"Single";"Fully Meets";3;1;0
1078;"Litzy";"Conner";"2020-02-24";"2021-06-16";"Angela Ramsey";"Contract";"Voluntary";"Software Engineering";"MA";"Foreman";"Female";"Asian";"Divorced";"Fully Meets";3;1;1
1079;"Joanna";"Burnett";"2021-04-07";"2022-05-01";"Malik Smith";"Part-Time";"Resignation";"Software Engineering";"MA";"Manager";"Female";"Hispanic";"Divorced";"Fully Meets";3;1;1
1080;"Abdullah";"Frederick";"2020-11-14";"";"Jessica Lewis";"Part-Time";"Unk";"Software Engineering";"MA";"Engineer";"Male";"Black";"Widowed";"Fully Meets";3;1;0
1081;"Armani";"Porter";"2022-01-17";"2022-08-10";"Kayla Ibarra";"Contract";"Involuntary";"Software Engineering";"MA";"Laborer";"Male";"Asian";"Divorced";"Fully Meets";3;1;1
1082;"Taylor";"Sanders";"2021-09-02";"2023-06-27";"Ryan Mathews";"Part-Time";"Retirement";"Software Engineering";"MA";"Technician";"Male";"Other";"Married";"Fully Meets";3;1;1
1083;"Iliana";"Randall";"2023-07-30";"";"Melissa Scott";"Part-Time";"Unk";"Software Engineering";"MA";"Supervisor";"Female";"Asian";"Divorced";"Fully Meets";3;1;0
1084;"Luke";"Henderson";"2023-06-27";"";"Robert Schmitt";"Contract";"Unk";"Software Engineering";"MA";"Administrator";"Male";"White";"Single";"Fully Meets";3;1;0
1085;"Madelyn";"Lambert";"2022-03-27";"";"Patricia Wallace";"Contract";"Unk";"Software Engineering";"MA";"Lineman";"Male";"Other";"Divorced";"Fully Meets";3;1;0
1086;"Ava";"Pace";"2022-08-12";"2022-10-20";"Justin Young";"Contract";"Voluntary";"Software Engineering";"MA";"Supervisor";"Female";"Black";"Single";"Fully Meets";3;1;1
1087;"Delaney";"Bruce";"2022-07-08";"2023-08-04";"Robert Salinas";"Part-Time";"Voluntary";"Software Engineering";"MA";"Tower Hand";"Female";"Other";"Married";"Fully Meets";3;1;1
1088;"Jair";"Bullock";"2020-08-15";"2021-01-23";"Mary Anderson";"Contract";"Resignation";"Software Engineering";"MA";"Foreman";"Female";"White";"Widowed";"Fully Meets";3;1;1
1089;"Kayla";"Farrell";"2023-05-27";"2023-06-14";"Jennifer Stevens";"Full-Time";"Involuntary";"Software Engineering";"MA";"Groundman";"Female";"Black";"Married";"Fully Meets";3;1;1
1090;"Taylor";"Gamble";"2023-01-02";"";"Jennifer Murphy";"Part-Time";"Unk";"Software Engineering";"MA";"Technician";"Female";"Black";"Divorced";"Fully Meets";3;1;0
1091;"Carl";"Desimone";"2018-11-16";"2021-04-03";"Daniel Booth";"Contract";"Involuntary";"Production       ";"MA";"Supervisor";"Male";"Asian";"Single";"Fully Meets";3;1;1
1092;"Sophia";"Theamstern";"2022-07-12";"";"Martin Jackson";"Part-Time";"Unk";"Production       ";"MA";"Clerk";"Female";"Hispanic";"Divorced";"Fully Meets";3;1;0
1093;"Kara";"Harrison";"2022-12-16";"";"Elizabeth Richards";"Contract";"Unk";"Production       ";"MA";"Engineer";"Female";"Asian";"Widowed";"Fully Meets";3;1;0
1094;"Ming";"Huynh";"2023-05-08";"";"Jose Bray";"Part-Time";"Unk";"Production       ";"MA";"Foreman";"Female";"Other";"Single";"Fully Meets";3;1;0
1095;"Karen";"Mancuso";"2023-04-07";"";"Jamie Frye";"Full-Time";"Unk";"Production       ";"MA";"Engineer";"Female";"Hispanic";"Divorced";"Fully Meets";3;1;0
1096;"Linda";"Anderson";"2022-02-15";"2022-10-19";"Adam Hunt";"Part-Time";"Voluntary";"Production       ";"MA";"Mechanic";"Female";"Asian";"Married";"Fully Meets";3;1;1
1097;"Nilson";"Fernandes";"2023-07-17";"2023-08-03";"Jeffrey Saunders";"Contract";"Involuntary";"Production       ";"MA";"Technician";"Male";"Hispanic";"Divorced";"Fully Meets";3;1;1
1098;"Alain";"Robinson";"2019-05-03";"2023-06-02";"Stephanie Griffin";"Part-Time";"Involuntary";"Production       ";"MA";"Engineer";"Male";"Asian";"Widowed";"Fully Meets";3;1;1
1099;"Seffi";"Shields";"2022-03-25";"2022-04-22";"Robert Sullivan";"Part-Time";"Retirement";"Production       ";"MA";"Laborer";"Female";"Other";"Single";"Fully Meets";3;1;1
1100;"Horia";"Ndzi";"2020-04-07";"";"Charles Delacruz";"Full-Time";"Unk";"Production       ";"MA";"Laborer";"Male";"White";"Divorced";"Fully Meets";3;1;0
1101;"Evelyn";"Girifalco";"2021-03-10";"";"John Alvarez";"Full-Time";"Unk";"Production       ";"MA";"Engineer";"Female";"White";"Widowed";"Fully Meets";3;1;0
1102;"Ermine";"Pelletier";"2019-08-04";"";"Margaret Lee";"Part-Time";"Unk";"Production       ";"MA";"Groundman";"Female";"Black";"Single";"Fully Meets";3;1;0
1103;"Samuel";"MacLennan";"2021-04-11";"2023-05-27";"Chad Moreno";"Full-Time";"Involuntary";"Production       ";"MA";"Splicer";"Male";"Asian";"Widowed";"Fully Meets";3;1;1
1104;"Sean";"Bernstein";"2019-06-16";"";"Matthew West";"Part-Time";"Unk";"Production       ";"MA";"Supervisor";"Male";"Asian";"Divorced";"Fully Meets";3;1;0
1105;"Shakira";"Perry";"2020-10-08";"2022-12-04";"Mark Jacobs";"Contract";"Voluntary";"Production       ";"MA";"Technician";"Female";"Hispanic";"Single";"Fully Meets";3;1;1
1106;"Michael J";"Fitzpatrick";"2021-08-18";"";"Isaac Long";"Full-Time";"Unk";"Production       ";"MA";"Lineman";"Male";"Other";"Single";"Fully Meets";3;1;0
1107;"Cybil";"Trzeciak";"2020-03-16";"";"Amanda Marshall";"Contract";"Unk";"Production       ";"MA";"Laborer";"Female";"Other";"Single";"Fully Meets";3;1;0
1108;"Barry";"Wilber";"2019-01-24";"";"Danielle Jones";"Full-Time";"Unk";"Production       ";"MA";"Flagger";"Male";"White";"Married";"Fully Meets";3;1;0
1109;"Enola";"Chivukula";"2022-06-11";"2022-09-25";"Timothy Moore";"Full-Time";"Retirement";"Production       ";"MA";"Laborer";"Female";"White";"Divorced";"Fully Meets";3;1;1
1110;"Joelle";"Burke";"2022-07-02";"";"Joshua Vasquez";"Full-Time";"Unk";"Production       ";"MA";"Foreman";"Female";"Asian";"Single";"Fully Meets";3;1;0
1111;"Alexandra";"Kirill";"2019-09-08";"2020-08-29";"Mark Hernandez";"Full-Time";"Retirement";"Production       ";"MA";"Splicer";"Female";"White";"Widowed";"Fully Meets";3;1;1
1112;"Celeste";"Johnson";"2022-07-10";"";"Kristi Andrews";"Full-Time";"Unk";"Production       ";"MA";"Project Manager";"Female";"White";"Single";"Fully Meets";3;1;0
1113;"Nathalia";"Hendrix";"2022-04-24";"";"Kenneth Carter";"Contract";"Unk";"Production       ";"MA";"Lineman";"Female";"Asian";"Divorced";"Fully Meets";3;1;0
1114;"Justus";"Bowen";"2020-03-31";"";"John Smith";"Full-Time";"Unk";"Production       ";"MA";"Laborer";"Female";"Hispanic";"Widowed";"Fully Meets";3;1;0
1115;"Marcus";"Bender";"2019-03-23";"";"Bradley Butler";"Contract";"Unk";"Production       ";"MA";"Technician";"Male";"Black";"Widowed";"Fully Meets";3;1;0
1116;"Ryker";"Logan";"2019-03-09";"2023-07-12";"Ryan Jenkins";"Full-Time";"Voluntary";"Production       ";"MA";"Clerk";"Male";"White";"Divorced";"Fully Meets";3;1;1
1117;"Payten";"Middleton";"2019-02-21";"2019-03-06";"Dennis Martinez";"Full-Time";"Resignation";"Production       ";"MA";"Technician";"Male";"Other";"Divorced";"Fully Meets";3;1;1
1118;"Harrison";"Hunt";"2019-10-04";"2022-11-26";"Stephen Parks";"Full-Time";"Retirement";"Production       ";"MA";"Project Manager";"Male";"Asian";"Divorced";"Fully Meets";3;1;1
1119;"Orlando";"Henderson";"2019-11-24";"2020-12-20";"Brenda Garza DDS";"Part-Time";"Involuntary";"Production       ";"MA";"Laborer";"Female";"White";"Single";"Fully Meets";3;1;1
1120;"Darian";"Potts";"2020-08-17";"";"Ms. Diane Bradshaw DVM";"Part-Time";"Unk";"Production       ";"MA";"Administration";"Female";"Black";"Divorced";"Fully Meets";3;1;0
1121;"Isabela";"Collins";"2021-03-16";"";"Alyssa Gill";"Part-Time";"Unk";"Production       ";"MA";"Lineman";"Female";"Hispanic";"Widowed";"Fully Meets";3;1;0
1122;"Sierra";"Macias";"2021-11-16";"2022-08-26";"Miss Haley Duke DVM";"Contract";"Retirement";"Production       ";"MA";"Technician";"Female";"White";"Married";"Fully Meets";3;1;1
1123;"Giuliana";"Farmer";"2022-05-03";"";"Barbara Gardner";"Full-Time";"Unk";"Production       ";"MA";"Lineman";"Female";"Other";"Married";"Fully Meets";3;1;0
1124;"Pierce";"Robbins";"2019-12-24";"2022-11-11";"Monique Hudson DDS";"Full-Time";"Involuntary";"Production       ";"MA";"Technician";"Female";"Other";"Married";"Fully Meets";3;1;1
1125;"Lamont";"Bridges";"2021-10-21";"";"Angela Peterson";"Contract";"Unk";"Production       ";"MA";"Lineman";"Male";"Hispanic";"Married";"Fully Meets";3;1;0
1126;"Gretchen";"Richard";"2018-09-08";"2020-03-06";"Tony Pratt";"Part-Time";"Retirement";"Production       ";"MA";"Engineer";"Male";"White";"Divorced";"Fully Meets";3;1;1
1127;"Axel";"Hart";"2019-02-26";"";"Keith Lyons";"Full-Time";"Unk";"Production       ";"MA";"Technician";"Male";"White";"Married";"Fully Meets";3;1;0
1128;"Emma";"Escobar";"2023-04-21";"";"Kevin Calderon";"Part-Time";"Unk";"Production       ";"MA";"Technician";"Female";"Hispanic";"Married";"Fully Meets";3;1;0
1129;"Maximilian";"Craig";"2019-09-19";"2021-10-23";"Laura Reid";"Full-Time";"Resignation";"Production       ";"MA";"Tower Hand";"Female";"Other";"Married";"Fully Meets";3;1;1
1130;"Erik";"Padilla";"2020-12-23";"";"Stacey Fowler";"Contract";"Unk";"Production       ";"MA";"Intern";"Female";"Hispanic";"Divorced";"Fully Meets";3;1;0
1131;"Gilbert";"Duffy";"2019-03-29";"";"Stephen Hebert";"Part-Time";"Unk";"Production       ";"MA";"Operator";"Female";"Black";"Single";"Fully Meets";3;1;0
1132;"Raymond";"Ayers";"2021-05-15";"2023-05-03";"James Burgess";"Contract";"Involuntary";"Production       ";"MA";"Laborer";"Female";"Hispanic";"Widowed";"Fully Meets";3;1;1
1133;"Vincent";"Wyatt";"2022-03-14";"2022-10-02";"Jordan Robinson";"Full-Time";"Voluntary";"Production       ";"MA";"Engineer";"Female";"Hispanic";"Married";"Fully Meets";3;1;1
1134;"Micah";"Stanley";"2021-12-06";"2022-01-08";"Matthew Baker";"Part-Time";"Retirement";"Production       ";"MA";"Technician";"Female";"Asian";"Single";"Fully Meets";3;1;1
1135;"Evan";"Chen";"2021-10-27";"";"Anita Dudley";"Full-Time";"Unk";"Production       ";"MA";"Principal";"Male";"Other";"Widowed";"Fully Meets";3;1;0
1136;"Serenity";"Thornton";"2023-04-01";"";"Marilyn Cook";"Full-Time";"Unk";"Production       ";"MA";"Driver";"Male";"Other";"Divorced";"Fully Meets";3;1;0
1137;"Talan";"Rivas";"2019-05-29";"";"Brian Hamilton";"Full-Time";"Unk";"Production       ";"MA";"Laborer";"Male";"Black";"Single";"Fully Meets";3;1;0
1138;"Calvin";"Braun";"2019-07-12";"2022-07-12";"David Park";"Full-Time";"Involuntary";"Production       ";"MA";"Coordinator";"Male";"Black";"Divorced";"Fully Meets";3;1;1
1139;"Cale";"Bender";"2018-08-10";"2022-02-21";"Victoria Campbell";"Contract";"Involuntary";"Production       ";"MA";"Technician";"Male";"Hispanic";"Married";"Fully Meets";3;1;1
1140;"Kirsten";"Vance";"2021-09-29";"";"Anthony Steele";"Part-Time";"Unk";"Production       ";"MA";"Engineer";"Female";"Black";"Single";"Fully Meets";3;1;0
1141;"Cade";"Cox";"2021-08-05";"";"Terry Henson";"Contract";"Unk";"Production       ";"MA";"Locator";"Female";"Black";"Divorced";"Fully Meets";3;1;0
1142;"Ibrahim";"Wolfe";"2023-08-02";"";"Katie Lucas";"Full-Time";"Unk";"Production       ";"MA";"Coordinator";"Female";"Asian";"Married";"Fully Meets";3;1;0
1143;"Elianna";"Schmitt";"2018-09-02";"2021-07-28";"Margaret Gamble";"Contract";"Resignation";"Production       ";"MA";"Lineman";"Female";"Hispanic";"Widowed";"Fully Meets";3;1;1
1144;"Colby";"Wolfe";"2019-10-13";"";"Heidi Wang";"Part-Time";"Unk";"Production       ";"MA";"Project Manager";"Female";"Asian";"Single";"Fully Meets";3;1;0
1145;"Autumn";"Barrera";"2020-09-24";"";"David Moore";"Contract";"Unk";"Production       ";"MA";"Shop";"Male";"Hispanic";"Married";"Fully Meets";3;1;0
1146;"Emmalee";"Cervantes";"2023-08-06";"";"Richard Harvey";"Contract";"Unk";"Production       ";"MA";"Groundman";"Male";"Hispanic";"Divorced";"Fully Meets";3;1;0
